UserID,No Of Abuse Report,No Of Rejected Friend Requests,No Of Freind Requests Thar Are Not Accepted,No Of Friends,No Of Followers,No Of Likes To Unknown Account,No Of Comments Per Day,Fake Or Not Category
767,91,205,632,742,263,74,21,1
768,32,678,612,840,486,27,87,1
769,29,650,501,557,455,3,56,0
770,30,994,5,857,465,4,41,0
771,22,156,100,48,567,38,23,0
772,4,300,795,390,590,19,68,0
773,17,925,645,610,612,6,33,0
774,29,771,417,645,755,38,32,0
775,11,433,636,183,828,100,77,1
776,18,37,466,225,337,74,77,1
777,57,55,715,674,894,57,7,1
778,59,356,485,964,836,59,72,1
779,25,32,211,441,932,84,66,1
780,38,961,638,586,794,54,57,1
781,50,627,299,802,594,18,87,1
782,16,349,435,970,826,2,47,0
783,25,401,166,184,399,98,43,1
784,37,660,909,259,351,14,12,1
785,64,266,702,85,81,30,22,1
786,16,836,141,61,434,84,43,1
787,93,516,210,536,546,17,54,1
788,35,339,652,324,828,1,82,1
789,53,161,33,778,801,81,56,1
790,66,161,412,882,34,7,73,1
791,6,320,49,688,79,27,71,0
792,40,447,271,465,188,91,85,1
793,8,427,767,962,167,65,71,1
794,99,949,943,560,164,45,58,1
795,71,349,838,153,467,41,81,1
796,70,781,321,889,335,69,30,1
797,67,413,711,594,835,43,43,1
798,40,43,580,899,556,80,27,1
799,16,519,750,910,629,46,58,0
800,25,231,194,808,13,88,51,1
801,38,421,10,741,179,52,11,1
802,45,374,501,601,874,63,99,1
803,96,764,212,459,697,19,55,1
804,29,419,76,893,66,72,86,1
805,66,982,347,134,74,22,7,1
806,100,896,699,976,747,25,66,1
807,64,437,578,354,672,7,32,1
808,19,149,922,278,591,64,62,1
809,81,979,882,796,227,83,54,1
810,41,87,255,242,811,13,61,1
811,90,367,659,83,724,96,9,1
812,68,294,290,359,281,81,16,1
813,54,553,961,940,583,27,87,1
814,4,14,210,177,295,35,52,0
815,41,271,541,926,511,12,85,1
816,22,711,867,641,780,98,69,1
817,74,299,859,219,162,36,56,1
818,64,88,602,589,873,27,83,1
819,82,381,522,538,421,67,7,1
820,69,247,936,3,742,68,34,1
821,6,154,45,150,892,1,80,0
822,15,148,573,895,233,26,55,0
823,15,325,796,923,527,83,28,1
824,46,865,799,791,303,33,32,1
825,79,576,937,220,523,21,16,1
826,19,483,34,256,367,66,52,1
827,73,620,555,987,78,78,29,1
828,67,203,237,851,180,20,12,1
829,95,545,710,328,513,87,74,1
830,29,781,51,494,441,4,100,0
831,86,878,489,898,871,66,21,1
832,81,812,279,358,114,11,67,1
833,94,424,480,513,308,2,26,1
834,93,923,645,436,520,93,6,1
835,69,209,723,905,493,20,31,1
836,41,347,775,720,86,71,57,1
837,96,628,845,553,467,26,41,1
838,13,530,219,861,566,39,72,0
839,70,768,704,59,79,64,14,1
840,63,852,796,725,413,84,22,1
841,9,412,279,572,944,56,82,1
842,79,679,177,48,147,8,7,1
843,27,816,186,921,724,56,6,1
844,26,532,514,198,132,99,17,1
845,23,409,212,828,871,69,11,1
846,24,452,870,341,194,14,71,0
847,28,973,679,381,938,26,93,0
848,90,462,151,107,609,45,94,1
849,15,567,847,676,853,98,49,1
850,63,314,227,675,560,87,45,1
851,63,651,605,768,802,61,72,1
852,79,309,94,982,115,20,34,1
853,63,785,14,248,517,31,35,1
854,34,999,669,583,250,65,32,1
855,18,992,722,497,968,2,50,0
856,1,699,818,787,325,27,91,0
857,50,76,694,558,135,91,66,1
858,26,321,75,718,88,74,18,1
859,39,713,868,323,195,4,96,1
860,18,407,627,116,328,43,87,0
861,67,64,780,197,680,49,84,1
862,28,960,326,579,230,29,50,0
863,53,321,555,946,231,33,92,1
864,47,803,107,946,638,31,99,1
865,84,269,669,485,301,99,44,1
866,77,899,432,42,69,34,80,1
867,69,358,362,229,415,27,54,1
868,39,613,604,762,566,65,94,1
869,79,697,620,545,919,26,8,1
870,71,595,920,653,862,44,1,1
871,51,599,808,232,981,83,94,1
872,3,467,162,115,418,96,17,1
873,22,553,383,41,503,27,38,0
874,52,512,143,429,129,35,25,1
875,24,293,443,105,902,16,32,0
876,50,553,794,976,377,13,1,1
877,40,835,105,704,914,34,6,1
878,54,237,986,598,830,5,38,1
879,46,113,126,488,666,34,20,1
880,81,880,403,485,690,70,33,1
881,69,445,122,222,485,18,26,1
882,36,279,296,542,886,21,22,1
883,23,35,147,435,769,28,57,0
884,1,379,716,398,140,82,26,1
885,24,143,348,473,867,1,71,0
886,95,507,538,116,719,28,9,1
887,26,312,536,505,122,3,97,0
888,23,496,615,393,370,51,46,1
889,57,461,146,969,132,71,38,1
890,10,163,86,883,561,54,80,1
891,20,743,185,990,99,45,41,0
892,43,883,898,55,15,73,46,1
893,75,760,649,502,979,12,23,1
894,74,638,701,695,247,8,47,1
895,72,592,690,331,485,30,52,1
896,94,469,354,992,538,38,5,1
897,93,92,979,390,861,79,90,1
898,83,862,314,397,948,92,85,1
899,97,760,225,754,203,91,12,1
900,99,636,295,919,359,87,24,1
901,69,808,914,93,315,81,2,1
902,60,419,38,295,780,66,86,1
903,87,305,340,197,136,63,37,1
904,93,45,379,125,766,70,82,1
905,23,638,412,137,250,97,34,1
906,44,292,409,628,63,68,81,1
907,31,110,372,241,969,46,41,1
908,39,504,45,263,719,36,38,1
909,9,36,852,416,150,71,94,1
910,75,431,548,547,479,23,49,1
911,70,211,971,718,783,23,14,1
912,41,731,594,416,672,92,2,1
913,71,424,74,219,791,76,43,1
914,72,287,136,396,458,73,57,1
915,41,821,568,413,957,46,92,1
916,1,322,613,451,331,34,78,0
917,85,444,65,453,374,71,89,1
918,46,432,167,548,437,24,95,1
919,51,535,162,281,954,1,39,1
920,74,344,380,813,62,84,71,1
921,73,584,385,630,189,65,62,1
922,39,491,643,399,872,45,94,1
923,51,788,432,319,733,65,86,1
924,53,936,262,641,373,42,75,1
925,66,358,740,280,239,95,46,1
926,19,352,960,3,560,100,32,1
927,61,869,188,9,470,69,99,1
928,60,120,358,648,602,29,92,1
929,42,869,736,103,177,96,96,1
930,47,588,914,356,321,40,54,1
931,63,583,867,84,896,66,42,1
932,17,807,276,979,445,28,18,0
933,32,492,159,861,291,18,46,1
934,2,930,801,918,735,72,55,1
935,21,852,600,234,856,2,66,0
936,3,921,419,221,705,56,21,1
937,97,854,838,68,56,90,55,1
938,93,838,120,604,208,80,32,1
939,15,375,880,682,222,24,13,0
940,53,664,810,406,210,4,4,1
941,71,856,235,935,177,67,38,1
942,57,704,171,666,55,88,29,1
943,79,631,681,974,924,39,38,1
944,82,376,821,314,700,99,84,1
945,28,662,844,745,495,80,67,1
946,94,580,890,899,123,99,47,1
947,84,625,802,671,45,71,73,1
948,75,952,286,139,865,99,37,1
949,99,643,200,258,801,40,64,1
950,97,667,526,431,468,38,12,1
951,6,765,139,477,820,34,56,0
952,15,754,305,377,666,37,51,0
953,60,828,357,380,624,1,17,1
954,5,810,468,651,537,56,64,1
955,11,449,788,823,123,39,26,0
956,21,753,518,67,200,37,56,0
957,79,264,403,266,814,83,91,1
958,65,84,293,729,558,83,22,1
959,69,344,856,742,155,47,18,1
960,57,289,419,5,283,49,4,1
961,50,340,866,699,523,40,12,1
962,70,394,951,456,64,96,75,1
963,92,846,396,652,333,85,89,1
964,37,887,246,647,687,94,12,1
965,57,212,227,268,652,31,19,1
966,40,764,118,128,551,99,17,1
967,14,66,500,633,846,95,21,1
968,71,915,42,995,667,57,84,1
969,55,835,113,995,218,8,79,1
970,92,198,704,462,13,61,81,1
971,27,14,920,913,929,25,72,0
972,57,177,540,281,428,23,38,1
973,4,81,935,657,481,2,98,0
974,43,92,72,246,212,14,46,1
975,1,915,703,657,429,83,8,1
976,6,186,886,716,651,68,87,1
977,11,825,583,568,566,86,96,1
978,39,361,786,574,367,57,47,1
979,6,341,107,620,342,28,29,0
980,68,897,756,569,233,15,1,1
981,68,699,937,598,309,85,64,1
982,1,137,841,919,380,44,75,0
983,49,508,578,285,281,48,13,1
984,86,593,936,893,892,70,27,1
985,45,822,723,178,195,79,46,1
986,90,986,567,678,459,59,23,1
987,19,79,912,970,51,49,12,0
988,21,461,75,370,543,60,9,1
989,69,747,982,507,173,71,88,1
990,6,326,155,229,120,85,9,1
991,81,696,489,974,526,62,13,1
992,100,892,934,54,550,72,5,1
993,36,799,276,692,284,47,75,1
994,20,420,640,436,59,31,27,0
995,4,733,511,199,818,2,1,0
996,79,966,886,135,881,87,85,1
997,69,47,344,944,216,3,44,1
998,16,556,104,896,958,49,97,0
999,8,169,944,95,874,6,26,0
1000,28,419,207,211,164,93,99,1
